area;type;access;http;card;list;labels;place;name;url;cardUrl
"общий источник";"Trello-связь";"внутренняя Trello-связь";"";"ТЗ по сайду содержанок (для обсуждения и корректировок)";"Архив (Выполнено)";"Done. Testing";"вложение";"Драфт содержанки.docx";"https://trello.com/1/cards/670677a3b211430c1151b2d1/attachments/673b1c6bad900568cf6bfe1e/download/%D0%94%D1%80%D0%B0%D1%84%D1%82_%D1%81%D0%BE%D0%B4%D0%B5%D1%80%D0%B6%D0%B0%D0%BD%D0%BA%D0%B8.docx";"https://trello.com/c/PXhFYUGF/13-%D1%82%D0%B7-%D0%BF%D0%BE-%D1%81%D0%B0%D0%B9%D0%B4%D1%83-%D1%81%D0%BE%D0%B4%D0%B5%D1%80%D0%B6%D0%B0%D0%BD%D0%BE%D0%BA-%D0%B4%D0%BB%D1%8F-%D0%BE%D0%B1%D1%81%D1%83%D0%B6%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F-%D0%B8-%D0%BA%D0%BE%D1%80%D1%80%D0%B5%D0%BA%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BE%D0%BA"
"чат / коммуникации";"Trello-связь";"внутренняя Trello-связь";"";"Примеры чат-ботов - XO";"Архив (Выполнено)";"В работе";"вложение";"Screenshot_1.png";"https://trello.com/1/cards/67448fcba9ca1218edfe13cd/attachments/67448fd65662115320a47836/download/Screenshot_1.png";"https://trello.com/c/6jtQYeGI/33-%D0%BF%D1%80%D0%B8%D0%BC%D0%B5%D1%80%D1%8B-%D1%87%D0%B0%D1%82-%D0%B1%D0%BE%D1%82%D0%BE%D0%B2-xo"
"чат / коммуникации";"Trello-связь";"внутренняя Trello-связь";"";"Примеры чат-ботов - XO";"Архив (Выполнено)";"В работе";"вложение";"Screenshot_2.png";"https://trello.com/1/cards/67448fcba9ca1218edfe13cd/attachments/67448fd807206ed4b621f256/download/Screenshot_2.png";"https://trello.com/c/6jtQYeGI/33-%D0%BF%D1%80%D0%B8%D0%BC%D0%B5%D1%80%D1%8B-%D1%87%D0%B0%D1%82-%D0%B1%D0%BE%D1%82%D0%BE%D0%B2-xo"
"чат / коммуникации";"Trello-связь";"внутренняя Trello-связь";"";"Примеры чат-ботов - XO";"Архив (Выполнено)";"В работе";"вложение";"Screenshot_3.png";"https://trello.com/1/cards/67448fcba9ca1218edfe13cd/attachments/67448fd950339aa08910b25b/download/Screenshot_3.png";"https://trello.com/c/6jtQYeGI/33-%D0%BF%D1%80%D0%B8%D0%BC%D0%B5%D1%80%D1%8B-%D1%87%D0%B0%D1%82-%D0%B1%D0%BE%D1%82%D0%BE%D0%B2-xo"
"чат / коммуникации";"Trello-связь";"внутренняя Trello-связь";"";"Примеры чат-ботов - XO";"Архив (Выполнено)";"В работе";"вложение";"Screenshot_4.png";"https://trello.com/1/cards/67448fcba9ca1218edfe13cd/attachments/67448fdb7421f3772734271d/download/Screenshot_4.png";"https://trello.com/c/6jtQYeGI/33-%D0%BF%D1%80%D0%B8%D0%BC%D0%B5%D1%80%D1%8B-%D1%87%D0%B0%D1%82-%D0%B1%D0%BE%D1%82%D0%BE%D0%B2-xo"
"чат / коммуникации";"Trello-связь";"внутренняя Trello-связь";"";"Примеры чат-ботов - XO";"Архив (Выполнено)";"В работе";"вложение";"Screenshot_5.png";"https://trello.com/1/cards/67448fcba9ca1218edfe13cd/attachments/67448fdc64619c0d9e1a618a/download/Screenshot_5.png";"https://trello.com/c/6jtQYeGI/33-%D0%BF%D1%80%D0%B8%D0%BC%D0%B5%D1%80%D1%8B-%D1%87%D0%B0%D1%82-%D0%B1%D0%BE%D1%82%D0%BE%D0%B2-xo"
"чат / коммуникации";"Trello-связь";"внутренняя Trello-связь";"";"Примеры чат-ботов - XO";"Архив (Выполнено)";"В работе";"вложение";"Screenshot_6.png";"https://trello.com/1/cards/67448fcba9ca1218edfe13cd/attachments/67448fde06815f8e4c047b55/download/Screenshot_6.png";"https://trello.com/c/6jtQYeGI/33-%D0%BF%D1%80%D0%B8%D0%BC%D0%B5%D1%80%D1%8B-%D1%87%D0%B0%D1%82-%D0%B1%D0%BE%D1%82%D0%BE%D0%B2-xo"
"чат / коммуникации";"Trello-связь";"внутренняя Trello-связь";"";"Примеры чат-ботов - XO";"Архив (Выполнено)";"В работе";"вложение";"Screenshot_7.png";"https://trello.com/1/cards/67448fcba9ca1218edfe13cd/attachments/67448fe01dded32aae9373a9/download/Screenshot_7.png";"https://trello.com/c/6jtQYeGI/33-%D0%BF%D1%80%D0%B8%D0%BC%D0%B5%D1%80%D1%8B-%D1%87%D0%B0%D1%82-%D0%B1%D0%BE%D1%82%D0%BE%D0%B2-xo"
"чат / коммуникации";"Trello-связь";"внутренняя Trello-связь";"";"Примеры чат-ботов - XO";"Архив (Выполнено)";"В работе";"вложение";"Screenshot_8.png";"https://trello.com/1/cards/67448fcba9ca1218edfe13cd/attachments/67448fe2d79b390bf17bf69d/download/Screenshot_8.png";"https://trello.com/c/6jtQYeGI/33-%D0%BF%D1%80%D0%B8%D0%BC%D0%B5%D1%80%D1%8B-%D1%87%D0%B0%D1%82-%D0%B1%D0%BE%D1%82%D0%BE%D0%B2-xo"
"чат / коммуникации";"Trello-связь";"внутренняя Trello-связь";"";"Примеры чат-ботов - XO";"Архив (Выполнено)";"В работе";"вложение";"Screenshot_9.png";"https://trello.com/1/cards/67448fcba9ca1218edfe13cd/attachments/67448fe4ff52413b2790c292/download/Screenshot_9.png";"https://trello.com/c/6jtQYeGI/33-%D0%BF%D1%80%D0%B8%D0%BC%D0%B5%D1%80%D1%8B-%D1%87%D0%B0%D1%82-%D0%B1%D0%BE%D1%82%D0%BE%D0%B2-xo"
"чат / коммуникации";"Trello-связь";"внутренняя Trello-связь";"";"Примеры чат-ботов - XO";"Архив (Выполнено)";"В работе";"вложение";"Screenshot_10.png";"https://trello.com/1/cards/67448fcba9ca1218edfe13cd/attachments/67448fe69a84c919731427d4/download/Screenshot_10.png";"https://trello.com/c/6jtQYeGI/33-%D0%BF%D1%80%D0%B8%D0%BC%D0%B5%D1%80%D1%8B-%D1%87%D0%B0%D1%82-%D0%B1%D0%BE%D1%82%D0%BE%D0%B2-xo"
"чат / коммуникации";"Trello-связь";"внутренняя Trello-связь";"";"Примеры чат-ботов - XO";"Архив (Выполнено)";"В работе";"вложение";"Screenshot_11.png";"https://trello.com/1/cards/67448fcba9ca1218edfe13cd/attachments/67448fe73f0ec2d39bac4679/download/Screenshot_11.png";"https://trello.com/c/6jtQYeGI/33-%D0%BF%D1%80%D0%B8%D0%BC%D0%B5%D1%80%D1%8B-%D1%87%D0%B0%D1%82-%D0%B1%D0%BE%D1%82%D0%BE%D0%B2-xo"
"чат / коммуникации";"Trello-связь";"внутренняя Trello-связь";"";"Примеры чат-ботов - XO";"Архив (Выполнено)";"В работе";"вложение";"Screenshot_12.png";"https://trello.com/1/cards/67448fcba9ca1218edfe13cd/attachments/67448fea129c1999661c2585/download/Screenshot_12.png";"https://trello.com/c/6jtQYeGI/33-%D0%BF%D1%80%D0%B8%D0%BC%D0%B5%D1%80%D1%8B-%D1%87%D0%B0%D1%82-%D0%B1%D0%BE%D1%82%D0%BE%D0%B2-xo"
"чат / коммуникации";"Trello-связь";"внутренняя Trello-связь";"";"Примеры чат-ботов - XO";"Архив (Выполнено)";"В работе";"вложение";"Screenshot_13.png";"https://trello.com/1/cards/67448fcba9ca1218edfe13cd/attachments/67448febfed96e4902208f7d/download/Screenshot_13.png";"https://trello.com/c/6jtQYeGI/33-%D0%BF%D1%80%D0%B8%D0%BC%D0%B5%D1%80%D1%8B-%D1%87%D0%B0%D1%82-%D0%B1%D0%BE%D1%82%D0%BE%D0%B2-xo"
"чат / коммуникации";"Trello-связь";"внутренняя Trello-связь";"";"Примеры чат-ботов - XO";"Архив (Выполнено)";"В работе";"вложение";"Screenshot_14.png";"https://trello.com/1/cards/67448fcba9ca1218edfe13cd/attachments/67448fed25e3e0e39836cbef/download/Screenshot_14.png";"https://trello.com/c/6jtQYeGI/33-%D0%BF%D1%80%D0%B8%D0%BC%D0%B5%D1%80%D1%8B-%D1%87%D0%B0%D1%82-%D0%B1%D0%BE%D1%82%D0%BE%D0%B2-xo"
"чат / коммуникации";"Trello-связь";"внутренняя Trello-связь";"";"Примеры чат-ботов - XO";"Архив (Выполнено)";"В работе";"вложение";"Screenshot_15.png";"https://trello.com/1/cards/67448fcba9ca1218edfe13cd/attachments/67448fefd79b390bf17c1920/download/Screenshot_15.png";"https://trello.com/c/6jtQYeGI/33-%D0%BF%D1%80%D0%B8%D0%BC%D0%B5%D1%80%D1%8B-%D1%87%D0%B0%D1%82-%D0%B1%D0%BE%D1%82%D0%BE%D0%B2-xo"
"чат / коммуникации";"Trello-связь";"внутренняя Trello-связь";"";"Примеры чат-ботов - XO";"Архив (Выполнено)";"В работе";"вложение";"Screenshot_16.png";"https://trello.com/1/cards/67448fcba9ca1218edfe13cd/attachments/67448ff1f89d61f01fd68515/download/Screenshot_16.png";"https://trello.com/c/6jtQYeGI/33-%D0%BF%D1%80%D0%B8%D0%BC%D0%B5%D1%80%D1%8B-%D1%87%D0%B0%D1%82-%D0%B1%D0%BE%D1%82%D0%BE%D0%B2-xo"
"чат / коммуникации";"Trello-связь";"внутренняя Trello-связь";"";"Примеры чат-ботов - XO";"Архив (Выполнено)";"В работе";"вложение";"Screenshot_17.png";"https://trello.com/1/cards/67448fcba9ca1218edfe13cd/attachments/67448ff24c54a231c72f4419/download/Screenshot_17.png";"https://trello.com/c/6jtQYeGI/33-%D0%BF%D1%80%D0%B8%D0%BC%D0%B5%D1%80%D1%8B-%D1%87%D0%B0%D1%82-%D0%B1%D0%BE%D1%82%D0%BE%D0%B2-xo"
"чат / коммуникации";"Trello-связь";"внутренняя Trello-связь";"";"Примеры чат-ботов - XO";"Архив (Выполнено)";"В работе";"вложение";"Screenshot_18.png";"https://trello.com/1/cards/67448fcba9ca1218edfe13cd/attachments/67448ff41c182bf929be3d1a/download/Screenshot_18.png";"https://trello.com/c/6jtQYeGI/33-%D0%BF%D1%80%D0%B8%D0%BC%D0%B5%D1%80%D1%8B-%D1%87%D0%B0%D1%82-%D0%B1%D0%BE%D1%82%D0%BE%D0%B2-xo"
"чат / коммуникации";"Trello-связь";"внутренняя Trello-связь";"";"Примеры чат-ботов - XO";"Архив (Выполнено)";"В работе";"вложение";"Screenshot_21.png";"https://trello.com/1/cards/67448fcba9ca1218edfe13cd/attachments/67448ff6cd595307c7f04776/download/Screenshot_21.png";"https://trello.com/c/6jtQYeGI/33-%D0%BF%D1%80%D0%B8%D0%BC%D0%B5%D1%80%D1%8B-%D1%87%D0%B0%D1%82-%D0%B1%D0%BE%D1%82%D0%BE%D0%B2-xo"
"общий источник";"Google Drive";"открывается";"200";"Тестовая среда для прогера по yii2";"Архив (Выполнено)";"";"описание";"";"https://drive.google.com/file/d/1AS65cywsSVxwhy4Lt8-9Ks7YFqnWrEvu/view?usp=drive_link";"https://trello.com/c/FmvNeaOx/40-%D1%82%D0%B5%D1%81%D1%82%D0%BE%D0%B2%D0%B0%D1%8F-%D1%81%D1%80%D0%B5%D0%B4%D0%B0-%D0%B4%D0%BB%D1%8F-%D0%BF%D1%80%D0%BE%D0%B3%D0%B5%D1%80%D0%B0-%D0%BF%D0%BE-yii2"
"общий источник";"Trello-связь";"внутренняя Trello-связь";"";"Отрисовать недостающие страницы для H";"Архив (Выполнено)";"";"вложение";"https://trello.com/c/J9hGbu0m/58-%D1%82%D0%B7-%D0%B4%D0%BB%D1%8F-%D0%B4%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D0%BE%D0%BA-%D1%88%D0%B0%D0%B1%D0%BB%D0%BE%D0%BD%D0%B0-h";"https://trello.com/c/J9hGbu0m/58-%D1%82%D0%B7-%D0%B4%D0%BB%D1%8F-%D0%B4%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D0%BE%D0%BA-%D1%88%D0%B0%D0%B1%D0%BB%D0%BE%D0%BD%D0%B0-h";"https://trello.com/c/MhIzJjxS/59-%D0%BE%D1%82%D1%80%D0%B8%D1%81%D0%BE%D0%B2%D0%B0%D1%82%D1%8C-%D0%BD%D0%B5%D0%B4%D0%BE%D1%81%D1%82%D0%B0%D1%8E%D1%89%D0%B8%D0%B5-%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86%D1%8B-%D0%B4%D0%BB%D1%8F-h"
"чат / коммуникации";"Trello-связь";"внутренняя Trello-связь";"";"Найти программиста для Бота";"Архив (Выполнено)";"";"вложение";"Драфт ТЗ чат-боту RH.docx";"https://trello.com/1/cards/670e62224052802a487bc11c/attachments/673b1cae29d8987f510543f0/download/%D0%94%D1%80%D0%B0%D1%84%D1%82_%D0%A2%D0%97_%D1%87%D0%B0%D1%82-%D0%B1%D0%BE%D1%82%D1%83_RH.docx";"https://trello.com/c/uLKDQRWY/16-%D0%BD%D0%B0%D0%B9%D1%82%D0%B8-%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82%D0%B0-%D0%B4%D0%BB%D1%8F-%D0%B1%D0%BE%D1%82%D0%B0"
"общий источник";"Trello-связь";"внутренняя Trello-связь";"";"Найти программиста для Бота";"Архив (Выполнено)";"";"вложение";"Драфт тг-бот RH для партнеров.docx";"https://trello.com/1/cards/670e62224052802a487bc11c/attachments/673b63a2aa1100c9395669dd/download/%D0%94%D1%80%D0%B0%D1%84%D1%82_%D1%82%D0%B3-%D0%B1%D0%BE%D1%82_RH_%D0%B4%D0%BB%D1%8F_%D0%BF%D0%B0%D1%80%D1%82%D0%BD%D0%B5%D1%80%D0%BE%D0%B2.docx";"https://trello.com/c/uLKDQRWY/16-%D0%BD%D0%B0%D0%B9%D1%82%D0%B8-%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82%D0%B0-%D0%B4%D0%BB%D1%8F-%D0%B1%D0%BE%D1%82%D0%B0"
"общий источник";"Trello-связь";"внутренняя Trello-связь";"";"Найти программиста для Бота";"Архив (Выполнено)";"";"вложение";"Гайд по Zodier.pdf";"https://trello.com/1/cards/670e62224052802a487bc11c/attachments/673e0d8b6ff8edadf36917d5/download/%D0%93%D0%B0%D0%B9%D0%B4_%D0%BF%D0%BE_Zodier.pdf";"https://trello.com/c/uLKDQRWY/16-%D0%BD%D0%B0%D0%B9%D1%82%D0%B8-%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82%D0%B0-%D0%B4%D0%BB%D1%8F-%D0%B1%D0%BE%D1%82%D0%B0"
"чат / коммуникации";"Trello-связь";"внутренняя Trello-связь";"";"Прототип чат-бота";"Архив (Выполнено)";"";"вложение";"Прототип чат-бота H — полный функционал.xlsx";"https://trello.com/1/cards/673cb7174c261070345a28f1/attachments/67ed1a1f0117c828e9788a66/download/%D0%9F%D1%80%D0%BE%D1%82%D0%BE%D1%82%D0%B8%D0%BF_%D1%87%D0%B0%D1%82-%D0%B1%D0%BE%D1%82%D0%B0_H_%E2%80%94_%D0%BF%D0%BE%D0%BB%D0%BD%D1%8B%D0%B9_%D1%84%D1%83%D0%BD%D0%BA%D1%86%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB.xlsx";"https://trello.com/c/sQE044pT/27-%D0%BF%D1%80%D0%BE%D1%82%D0%BE%D1%82%D0%B8%D0%BF-%D1%87%D0%B0%D1%82-%D0%B1%D0%BE%D1%82%D0%B0"
"общий источник";"таблица Google";"открывается";"200";"Небула. Подготовительный этап";"Архив (Выполнено)";"";"описание";"";"https://docs.google.com/spreadsheets/d/1bT41K4o6ttgIIiYYLw5PeFDxUdgDIKHyDy5BD-raiDs/edit?usp=sharing";"https://trello.com/c/T5o0gWEu/70-%D0%BD%D0%B5%D0%B1%D1%83%D0%BB%D0%B0-%D0%BF%D0%BE%D0%B4%D0%B3%D0%BE%D1%82%D0%BE%D0%B2%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9-%D1%8D%D1%82%D0%B0%D0%BF"
"дизайн / frontend";"Trello-связь";"внутренняя Trello-связь";"";"Работа с дизайнером по страницам H";"Архив (Выполнено)";"";"вложение";"image.png";"https://trello.com/1/cards/67ed1addbbbde499fadc61b7/attachments/681329b542991cc22ade50a8/download/image.png";"https://trello.com/c/SbEOcTaR/90-%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D0%B0-%D1%81-%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80%D0%BE%D0%BC-%D0%BF%D0%BE-%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86%D0%B0%D0%BC-h"
"дизайн / frontend";"Trello-связь";"внутренняя Trello-связь";"";"Работа с дизайнером по страницам H";"Архив (Выполнено)";"";"вложение";"image.png";"https://trello.com/1/cards/67ed1addbbbde499fadc61b7/attachments/68132a5eb84113c9e7d6b4dc/download/image.png";"https://trello.com/c/SbEOcTaR/90-%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D0%B0-%D1%81-%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80%D0%BE%D0%BC-%D0%BF%D0%BE-%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86%D0%B0%D0%BC-h"
"документы / legal";"Trello-связь";"внутренняя Trello-связь";"";"Описать главную страницу для S";"Архив (Выполнено)";"";"вложение";"image.png";"https://trello.com/1/cards/67c5c216ac19053ec08e972e/attachments/67eb684a2efc8ab157aa9080/download/image.png";"https://trello.com/c/tjpYVtrk/89-%D0%BE%D0%BF%D0%B8%D1%81%D0%B0%D1%82%D1%8C-%D0%B3%D0%BB%D0%B0%D0%B2%D0%BD%D1%83%D1%8E-%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86%D1%83-%D0%B4%D0%BB%D1%8F-s"
"общий источник";"другое";"доступ не проверен";"";"Выбрать одну из 3-х страниц шаблона";"Архив (Выполнено)";"";"описание";"";"https://demo.templatemonster.com/ru/demo/389106.html";"https://trello.com/c/rqQ7rxIP/95-%D0%B2%D1%8B%D0%B1%D1%80%D0%B0%D1%82%D1%8C-%D0%BE%D0%B4%D0%BD%D1%83-%D0%B8%D0%B7-3-%D1%85-%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86-%D1%88%D0%B0%D0%B1%D0%BB%D0%BE%D0%BD%D0%B0"
"общий источник";"другое";"доступ не проверен";"";"Выбрать одну из 3-х страниц шаблона";"Архив (Выполнено)";"";"описание";"";"https://prnt.sc/cC21XVUbPq8l";"https://trello.com/c/rqQ7rxIP/95-%D0%B2%D1%8B%D0%B1%D1%80%D0%B0%D1%82%D1%8C-%D0%BE%D0%B4%D0%BD%D1%83-%D0%B8%D0%B7-3-%D1%85-%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86-%D1%88%D0%B0%D0%B1%D0%BB%D0%BE%D0%BD%D0%B0"
"общий источник";"другое";"доступ не проверен";"";"Выбрать одну из 3-х страниц шаблона";"Архив (Выполнено)";"";"описание";"";"https://prnt.sc/MN7UoK3buEkM";"https://trello.com/c/rqQ7rxIP/95-%D0%B2%D1%8B%D0%B1%D1%80%D0%B0%D1%82%D1%8C-%D0%BE%D0%B4%D0%BD%D1%83-%D0%B8%D0%B7-3-%D1%85-%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86-%D1%88%D0%B0%D0%B1%D0%BB%D0%BE%D0%BD%D0%B0"
"общий источник";"другое";"доступ не проверен";"";"Выбрать одну из 3-х страниц шаблона";"Архив (Выполнено)";"";"описание";"";"https://prnt.sc/_JfVS7aSyYtm";"https://trello.com/c/rqQ7rxIP/95-%D0%B2%D1%8B%D0%B1%D1%80%D0%B0%D1%82%D1%8C-%D0%BE%D0%B4%D0%BD%D1%83-%D0%B8%D0%B7-3-%D1%85-%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86-%D1%88%D0%B0%D0%B1%D0%BB%D0%BE%D0%BD%D0%B0"
"обучение / эксперты";"другое";"доступ не проверен";"";"Платная консультация по эзотерике (как клиент)";"Архив (Выполнено)";"";"описание";"";"https://www.kasamba.com/";"https://trello.com/c/1jG8Hv4M/98-%D0%BF%D0%BB%D0%B0%D1%82%D0%BD%D0%B0%D1%8F-%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82%D0%B0%D1%86%D0%B8%D1%8F-%D0%BF%D0%BE-%D1%8D%D0%B7%D0%BE%D1%82%D0%B5%D1%80%D0%B8%D0%BA%D0%B5-%D0%BA%D0%B0%D0%BA-%D0%BA%D0%BB%D0%B8%D0%B5%D0%BD%D1%82"
"обучение / эксперты";"другое";"доступ не проверен";"";"Платная консультация по эзотерике (как клиент)";"Архив (Выполнено)";"";"описание";"";"https://www.purplegarden.co/";"https://trello.com/c/1jG8Hv4M/98-%D0%BF%D0%BB%D0%B0%D1%82%D0%BD%D0%B0%D1%8F-%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82%D0%B0%D1%86%D0%B8%D1%8F-%D0%BF%D0%BE-%D1%8D%D0%B7%D0%BE%D1%82%D0%B5%D1%80%D0%B8%D0%BA%D0%B5-%D0%BA%D0%B0%D0%BA-%D0%BA%D0%BB%D0%B8%D0%B5%D0%BD%D1%82"
"обучение / эксперты";"другое";"доступ не проверен";"";"Платная консультация по эзотерике (как клиент)";"Архив (Выполнено)";"";"описание";"";"https://asknebula.com/";"https://trello.com/c/1jG8Hv4M/98-%D0%BF%D0%BB%D0%B0%D1%82%D0%BD%D0%B0%D1%8F-%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82%D0%B0%D1%86%D0%B8%D1%8F-%D0%BF%D0%BE-%D1%8D%D0%B7%D0%BE%D1%82%D0%B5%D1%80%D0%B8%D0%BA%D0%B5-%D0%BA%D0%B0%D0%BA-%D0%BA%D0%BB%D0%B8%D0%B5%D0%BD%D1%82"
"обучение / эксперты";"Trello-связь";"внутренняя Trello-связь";"";"Платная консультация по эзотерике (как клиент)";"Архив (Выполнено)";"";"вложение";"image_2025-04-11_19-34-09 (1).png";"https://trello.com/1/cards/67ed1bdd5a516ef8a40787cf/attachments/6818ba0a07cd7052a1b38dfa/download/image_2025-04-11_19-34-09_(1).png";"https://trello.com/c/1jG8Hv4M/98-%D0%BF%D0%BB%D0%B0%D1%82%D0%BD%D0%B0%D1%8F-%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82%D0%B0%D1%86%D0%B8%D1%8F-%D0%BF%D0%BE-%D1%8D%D0%B7%D0%BE%D1%82%D0%B5%D1%80%D0%B8%D0%BA%D0%B5-%D0%BA%D0%B0%D0%BA-%D0%BA%D0%BB%D0%B8%D0%B5%D0%BD%D1%82"
"обучение / эксперты";"Trello-связь";"внутренняя Trello-связь";"";"Платная консультация по эзотерике (как клиент)";"Архив (Выполнено)";"";"вложение";"image_2025-04-11_19-34-25.png";"https://trello.com/1/cards/67ed1bdd5a516ef8a40787cf/attachments/6818ba0ee9e310298095c464/download/image_2025-04-11_19-34-25.png";"https://trello.com/c/1jG8Hv4M/98-%D0%BF%D0%BB%D0%B0%D1%82%D0%BD%D0%B0%D1%8F-%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82%D0%B0%D1%86%D0%B8%D1%8F-%D0%BF%D0%BE-%D1%8D%D0%B7%D0%BE%D1%82%D0%B5%D1%80%D0%B8%D0%BA%D0%B5-%D0%BA%D0%B0%D0%BA-%D0%BA%D0%BB%D0%B8%D0%B5%D0%BD%D1%82"
"обучение / эксперты";"Trello-связь";"внутренняя Trello-связь";"";"Адаптация обучающего материала от Nebula";"Архив (Выполнено)";"";"вложение";"Урок 2. Структура и составляющие чата.pptx";"https://trello.com/1/cards/67ed1ba362273e91b81d6777/attachments/680f6506917ddaad1ffeb557/download/%D0%A3%D1%80%D0%BE%D0%BA_2._%D0%A1%D1%82%D1%80%D1%83%D0%BA%D1%82%D1%83%D1%80%D0%B0_%D0%B8_%D1%81%D0%BE%D1%81%D1%82%D0%B0%D0%B2%D0%BB%D1%8F%D1%8E%D1%89%D0%B8%D0%B5_%D1%87%D0%B0%D1%82%D0%B0.pptx";"https://trello.com/c/Z3gdn6rU/97-%D0%B0%D0%B4%D0%B0%D0%BF%D1%82%D0%B0%D1%86%D0%B8%D1%8F-%D0%BE%D0%B1%D1%83%D1%87%D0%B0%D1%8E%D1%89%D0%B5%D0%B3%D0%BE-%D0%BC%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%B0%D0%BB%D0%B0-%D0%BE%D1%82-nebula"
"обучение / эксперты";"Trello-связь";"внутренняя Trello-связь";"";"Адаптация обучающего материала от Nebula";"Архив (Выполнено)";"";"вложение";"Урок 1. Структура и составляющие чата.pptx";"https://trello.com/1/cards/67ed1ba362273e91b81d6777/attachments/680f650f21f0677c366114ee/download/%D0%A3%D1%80%D0%BE%D0%BA_1._%D0%A1%D1%82%D1%80%D1%83%D0%BA%D1%82%D1%83%D1%80%D0%B0_%D0%B8_%D1%81%D0%BE%D1%81%D1%82%D0%B0%D0%B2%D0%BB%D1%8F%D1%8E%D1%89%D0%B8%D0%B5_%D1%87%D0%B0%D1%82%D0%B0_(1).pptx";"https://trello.com/c/Z3gdn6rU/97-%D0%B0%D0%B4%D0%B0%D0%BF%D1%82%D0%B0%D1%86%D0%B8%D1%8F-%D0%BE%D0%B1%D1%83%D1%87%D0%B0%D1%8E%D1%89%D0%B5%D0%B3%D0%BE-%D0%BC%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%B0%D0%BB%D0%B0-%D0%BE%D1%82-nebula"
"обучение / эксперты";"Trello-связь";"внутренняя Trello-связь";"";"Адаптация обучающего материала от Nebula";"Архив (Выполнено)";"";"вложение";"Натальная_карта_Астрология_Урок_6_.zip";"https://trello.com/1/cards/67ed1ba362273e91b81d6777/attachments/68380bbfa1d79ebe872c0c23/download/%D0%9D%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F_%D0%BA%D0%B0%D1%80%D1%82%D0%B0_%D0%90%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F_%D0%A3%D1%80%D0%BE%D0%BA_6_.zip";"https://trello.com/c/Z3gdn6rU/97-%D0%B0%D0%B4%D0%B0%D0%BF%D1%82%D0%B0%D1%86%D0%B8%D1%8F-%D0%BE%D0%B1%D1%83%D1%87%D0%B0%D1%8E%D1%89%D0%B5%D0%B3%D0%BE-%D0%BC%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%B0%D0%BB%D0%B0-%D0%BE%D1%82-nebula"
"документы / legal";"Trello-связь";"внутренняя Trello-связь";"";"Политики на сайт Юдейт";"Архив (Выполнено)";"";"вложение";"cookie_policy_confideline_html.txt";"https://trello.com/1/cards/68341d04a86842bdd29bb687/attachments/68a9f68028f3ee21c3b1e07a/download/cookie_policy_confideline_html.txt";"https://trello.com/c/NoOHV9NV/117-%D0%BF%D0%BE%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%D0%B8-%D0%BD%D0%B0-%D1%81%D0%B0%D0%B9%D1%82-%D1%8E%D0%B4%D0%B5%D0%B9%D1%82"
